"","Account_status","Duration","Credit_history","Purpose","Credit_amount","Savings_bonds","Present_employment_since","Installment_rate","Other_debtors_guarantors","Resident_since","Property","Age","Other_installment_plans","Housing","Existing_credits","Job","People_maintenance_for","Telephone","Foreign_worker","Credit_risk","Gender"
"1","< 0 DM",6,"critical account / other credits existing (not at this bank)","radio / television",1169,"unknown / no savings account",">= 7 years",4,"none",4,"real estate",67,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Female"
"2","0 < ... <  200 DM",48,"existing credits paid back duly till now","radio / television",5951,"< 100 DM","1  <= ... < 4 years",2,"none",2,"real estate",22,"none","own",1,"skilled employee / official",1,"none","yes",0,"Male"
"3","no checking account",12,"critical account / other credits existing (not at this bank)","education",2096,"< 100 DM","4  <= ... < 7 years",2,"none",3,"real estate",49,"none","own",1,"unskilled - resident",2,"none","yes",1,"Female"
"4","< 0 DM",42,"existing credits paid back duly till now","furniture / equipment",7882,"< 100 DM","4  <= ... < 7 years",2,"guarantor",4,"building society savings agreement / life insurance",45,"none","for free",1,"skilled employee / official",2,"none","yes",1,"Female"
"5","< 0 DM",24,"delay in paying off in the past","car (new)",4870,"< 100 DM","1  <= ... < 4 years",3,"none",4,"unknown / no property",53,"none","for free",2,"skilled employee / official",2,"none","yes",0,"Female"
"6","no checking account",36,"existing credits paid back duly till now","education",9055,"unknown / no savings account","1  <= ... < 4 years",2,"none",4,"unknown / no property",35,"none","for free",1,"unskilled - resident",2,"yes","yes",1,"Female"
"7","no checking account",24,"existing credits paid back duly till now","furniture / equipment",2835,"500 <= ... < 1000 DM",">= 7 years",3,"none",4,"building society savings agreement / life insurance",53,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"8","0 < ... <  200 DM",36,"existing credits paid back duly till now","car (used)",6948,"< 100 DM","1  <= ... < 4 years",2,"none",2,"car or other",35,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"9","no checking account",12,"existing credits paid back duly till now","radio / television",3059,">= 1000 DM","4  <= ... < 7 years",2,"none",4,"real estate",61,"none","own",1,"unskilled - resident",1,"none","yes",1,"Female"
"10","0 < ... <  200 DM",30,"critical account / other credits existing (not at this bank)","car (new)",5234,"< 100 DM","unemployed",4,"none",2,"car or other",28,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"none","yes",0,"Female"
"11","0 < ... <  200 DM",12,"existing credits paid back duly till now","car (new)",1295,"< 100 DM","< 1 year",3,"none",1,"car or other",25,"none","rent",1,"skilled employee / official",1,"none","yes",0,"Male"
"12","< 0 DM",48,"existing credits paid back duly till now","business",4308,"< 100 DM","< 1 year",3,"none",4,"building society savings agreement / life insurance",24,"none","rent",1,"skilled employee / official",1,"none","yes",0,"Male"
"13","0 < ... <  200 DM",12,"existing credits paid back duly till now","radio / television",1567,"< 100 DM","1  <= ... < 4 years",1,"none",1,"car or other",22,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Male"
"14","< 0 DM",24,"critical account / other credits existing (not at this bank)","car (new)",1199,"< 100 DM",">= 7 years",4,"none",4,"car or other",60,"none","own",2,"unskilled - resident",1,"none","yes",0,"Female"
"15","< 0 DM",15,"existing credits paid back duly till now","car (new)",1403,"< 100 DM","1  <= ... < 4 years",2,"none",4,"car or other",28,"none","rent",1,"skilled employee / official",1,"none","yes",1,"Male"
"16","< 0 DM",24,"existing credits paid back duly till now","radio / television",1282,"100 <= ... <  500 DM","1  <= ... < 4 years",4,"none",2,"car or other",32,"none","own",1,"unskilled - resident",1,"none","yes",0,"Male"
"17","no checking account",24,"critical account / other credits existing (not at this bank)","radio / television",2424,"unknown / no savings account",">= 7 years",4,"none",4,"building society savings agreement / life insurance",53,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"18","< 0 DM",30,"no credits taken / all credits paid back duly","business",8072,"unknown / no savings account","< 1 year",2,"none",3,"car or other",25,"bank","own",3,"skilled employee / official",1,"none","yes",1,"Female"
"19","0 < ... <  200 DM",24,"existing credits paid back duly till now","car (used)",12579,"< 100 DM",">= 7 years",4,"none",2,"unknown / no property",44,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",0,"Male"
