age,Medu,Fedu,school,sex,failures,studytime,goout,Mjob,Fjob,G1
18,4,4,GP,F,0,2,4,at_home,teacher,5
17,1,1,GP,F,0,2,3,at_home,other,5
15,1,1,GP,F,3,2,2,at_home,other,7
15,4,2,GP,F,0,3,2,health,services,15
16,3,3,GP,F,0,2,2,other,other,6
16,4,3,GP,M,0,2,2,services,other,15
16,2,2,GP,M,0,2,4,other,other,12
17,4,4,GP,F,0,2,4,other,teacher,6
15,3,2,GP,M,0,2,2,services,other,16
15,3,4,GP,M,0,2,1,other,other,14
15,4,4,GP,F,0,2,3,teacher,health,10
15,2,1,GP,F,0,3,2,services,other,10
15,4,4,GP,M,0,1,3,health,services,14
15,4,3,GP,M,0,2,3,teacher,other,10
15,2,2,GP,M,0,3,2,other,other,14
16,4,4,GP,F,0,1,4,health,other,14
16,4,4,GP,F,0,3,3,services,services,13
16,3,3,GP,F,0,2,2,other,other,8
17,3,2,GP,M,3,1,5,services,services,6
16,4,3,GP,M,0,1,3,health,other,8
15,4,3,GP,M,0,2,1,teacher,other,13
15,4,4,GP,M,0,1,2,health,health,12
16,4,2,GP,M,0,2,1,teacher,other,15
16,2,2,GP,M,0,2,4,other,other,13
15,2,4,GP,F,0,3,2,services,health,10
16,2,2,GP,F,2,1,2,services,services,6
15,2,2,GP,M,0,1,2,other,other,12
15,4,2,GP,M,0,1,4,health,services,15
16,3,4,GP,M,0,2,3,services,other,11
16,4,4,GP,M,0,2,5,teacher,teacher,10
15,4,4,GP,M,0,2,2,health,services,9
15,4,4,GP,M,0,2,1,services,services,17
15,4,3,GP,M,0,2,2,teacher,at_home,17
15,3,3,GP,M,0,2,2,other,other,8
16,3,2,GP,M,0,1,3,other,other,12
15,2,3,GP,F,0,1,1,other,other,8
15,4,3,GP,M,0,3,3,teacher,services,15
16,4,4,GP,M,0,3,3,other,teacher,15
15,3,4,GP,F,0,3,2,services,health,12
15,2,2,GP,F,0,1,1,at_home,other,14
16,2,2,GP,F,1,2,3,other,other,7
15,4,4,GP,M,0,1,3,teacher,other,12
15,4,4,GP,M,0,2,3,services,teacher,19
15,2,2,GP,M,0,1,1,services,services,8
16,2,2,GP,F,1,2,3,other,at_home,10
15,4,3,GP,F,0,2,2,other,other,8
16,3,3,GP,F,0,2,5,other,services,11
16,4,3,GP,M,0,4,2,health,services,19
15,4,2,GP,M,0,2,3,teacher,other,15
15,4,4,GP,F,1,2,4,services,teacher,7
16,2,2,GP,F,0,2,3,services,services,12
15,4,2,GP,F,0,2,3,health,other,11
15,4,2,GP,M,1,1,5,health,health,11
15,4,4,GP,F,0,1,4,services,services,8
15,3,3,GP,F,0,1,4,other,other,10
16,2,1,GP,F,0,2,4,other,other,8
15,4,3,GP,F,0,2,2,services,services,14
15,4,4,GP,M,0,2,2,teacher,health,14
15,1,2,GP,M,0,2,2,other,at_home,9
16,4,2,GP,F,0,2,3,services,other,15
16,4,4,GP,F,0,2,4,health,teacher,10
16,1,1,GP,F,0,1,5,services,services,10
16,1,2,GP,F,0,2,3,other,services,8
16,4,3,GP,F,0,3,4,teacher,health,10
15,4,3,GP,F,0,2,4,services,services,10
16,4,3,GP,F,0,2,3,teacher,services,16
15,4,4,GP,M,0,4,3,other,services,13
16,3,1,GP,F,0,4,3,services,other,7
15,2,2,GP,F,0,2,3,health,services,8
15,3,1,GP,F,0,4,2,other,other,16
16,3,1,GP,M,0,4,2,other,other,13
15,4,2,GP,M,0,4,3,other,other,10
15,1,1,GP,F,2,2,4,other,other,8
16,3,1,GP,M,0,1,2,other,other,12
16,3,3,GP,F,0,2,3,other,services,11
15,4,3,GP,M,0,2,3,teacher,other,9
15,4,0,GP,M,0,4,3,teacher,other,11
16,2,2,GP,F,0,4,3,other,other,11
17,2,1,GP,M,3,1,1,other,other,8
16,3,4,GP,F,0,2,3,at_home,other,5
15,2,3,GP,M,0,1,2,other,services,10
15,2,3,GP,M,0,3,2,other,other,11
15,3,2,GP,F,0,2,4,services,other,7
15,2,2,GP,M,0,2,3,services,services,15
15,1,1,GP,F,0,2,2,other,other,9
15,4,4,GP,F,2,2,4,services,services,7
16,2,2,GP,F,0,2,4,at_home,other,8
15,4,2,GP,F,0,3,3,other,other,13
16,2,2,GP,M,1,2,2,services,other,11
16,4,4,GP,M,0,2,3,teacher,health,8
16,3,3,GP,F,0,3,3,other,other,7
15,4,3,GP,F,0,1,5,services,other,16
16,3,1,GP,F,0,2,3,other,other,7
16,4,2,GP,F,0,2,3,teacher,services,11
15,2,2,GP,M,0,4,4,services,health,11
15,1,1,GP,F,1,4,2,at_home,other,7
16,4,3,GP,M,0,1,3,services,other,11
16,2,1,GP,F,0,2,5,other,other,8
16,4,4,GP,F,0,1,4,other,other,11
16,4,3,GP,F,0,3,5,other,at_home,7
16,4,4,GP,M,0,1,5,services,services,7
16,4,4,GP,M,0,3,3,services,teacher,16
15,4,4,GP,M,0,1,3,services,other,10
15,3,2,GP,F,0,2,5,services,other,7
15,3,4,GP,M,0,2,4,services,other,16
15,3,3,GP,F,0,4,3,other,health,10
15,2,2,GP,F,0,4,2,other,other,7
16,3,3,GP,M,0,3,3,services,other,16
15,4,4,GP,M,0,4,5,other,other,10
16,4,4,GP,F,0,3,5,health,health,14
15,4,4,GP,M,0,1,3,teacher,teacher,18
16,3,3,GP,F,1,3,2,services,other,7
16,2,2,GP,F,1,2,2,at_home,other,10
15,4,2,GP,M,0,1,2,teacher,other,18
15,2,1,GP,M,0,2,2,health,services,9
16,4,4,GP,M,0,2,4,teacher,teacher,15
15,4,4,GP,M,0,2,3,other,teacher,11
16,3,3,GP,M,0,1,2,other,services,13
17,1,3,GP,M,1,2,4,other,other,9
15,3,4,GP,M,0,1,3,other,other,14
15,1,2,GP,F,0,2,3,at_home,services,16
15,2,2,GP,M,0,4,4,services,services,16
16,2,4,GP,F,0,2,2,other,health,13
16,4,4,GP,M,0,1,4,health,other,14
16,2,2,GP,F,0,2,4,other,other,8
15,3,4,GP,M,0,1,5,services,services,13
15,3,4,GP,F,0,2,2,other,other,7
